0,1
Parameter Name,Description
serviceprovider_id,To identify a ServiceProvider uniquely.  This is required for the cdr creation.
serviceprovider_companyname,This is the unique company name for a ServiceProvider.
serviceprovider_address,This address of the ServiceProvider.
serviceprovider_description,A small description about the ServiceProvider.
serviceprovider_status,Status can have “Active” or “Blocked”. Admin can set the status to control a particular service provider.
serviceprovider_userlist,UI Service Provider type user's list of reference to be assigned for a ServiceProvider. Any of these users can login to the UI system on behalf of the ServiceProvider.
marketing_userlist,"This is the list of marketing users, who can monitor this particular service provider and their applications."
Parameter Name,Description
application_name,This is a unique value required for the cdr creation.
application_state,"This provides the current state of the application, it can be either Initial­state/Testbed­state/Limited­Production/Production/Suspended/Retired"
application_description,Description about the application.
is_manager_approved_production,Specify whether manager has approved the application for production.
creation_state_timestamp,Timestamp value for application reached the creation state.
Testbed_state_timestamp,Timestamp value for application reached the testbed state.
Limited_production_timestamp,Timestamp value for the limited production.
suspended_state_timestamp,Timestamp value for application reached the suspended state.
retired_state_timestamp,Timestamp value for application reached the retired state.
production_timestamp,Timestamp value for the production.
parent_service_provider_id,This is the reference to the Parent ServiceProvider's id.
Testbed_sla,This is the reference to the TestBed type SLA Object.
production_sla,This is the reference to the Production type SLA Object.
application_host_location,This is where the Application is hosted. (Used for Email­notification) Possible values can be  * In M1  * External in Singapore * External in Overseas
branding_type,This is the Branding Type of the Application.  (Used for Email­notification) * M1 Branded * Corporate Customer
physical_connectivity,This attribute specifies how the Application is going to connect to our system * Leased Line * VPN * Internet (Used for Email­notification)
Parameter Name,Description
username,This unique username is required log into the GUI system.
password,This password is required log into the GUI system.
contact_number,Contact number of the user.
email_address,Email address of the user.
usergroup_id,User Group's id which the user belongs to.
user_state,User can be in Active or Blocked state.
Construct Matches,
Character classes,
[abc],"a, b, or c (simple class)"
[^abc],"Any character except a, b, or c (negation)"
[a-zA-Z],"a through z or A through Z, inclusive (range)"
[a-d[m-p]],"a through d, or m through p: [a-dm-p] (union)"
[a-z&&[def]],"d, e, or f (intersection)"
[a-z&&[^bc]],"a through z, except for b and c: [ad-z] (subtraction)"
[a-z&&[^m-p]],"a through z, and not m through p: [a-lq-z](subtraction)"
Predefined character classes,
.,Any character (may or may not match line terminators)
\d,A digit: [0-9]
\D,A non­digit: [^0-9]
\s,A whitespace character: [ \t\n\x0B\f\r]
\S,A non­whitespace character: [^\s]
\w,A word character: [a-zA-Z_0-9]
\W,A non­word character: [^\w]
Characters,
x,The character x
\\,The backslash character
\0n,The character with octal value 0n (0 <= n <= 7)
\0nn,The character with octal value 0nn (0 <= n <= 7)
\0mnn,"The character with octal value 0mnn (0 <= m <= 3, 0 <= n <= 7)"
\xhh,The character with hexadecimal value 0xhh
\uhhhh,The character with hexadecimal value 0xhhhh
\x{h...h},The character with hexadecimal value 0xh...h (Character.MIN_CODE_POINT  <= 0xh...h <=  Character.MAX_CODE_POINT)
\t,The tab character ('\u0009')
\n,The newline (line feed) character ('\u000A')
\r,The carriage­return character ('\u000D')
\f,The form­feed character ('\u000C')
\a,The alert (bell) character ('\u0007')
\e,The escape character ('\u001B')
\cx,The control character corresponding to x
POSIX character classes (US­ASCII only),
\p{Lower},A lower­case alphabetic character: [a-z]
\p{Upper},An upper­case alphabetic character:[A-Z]
\p{ASCII},All ASCII:[\x00-\x7F]
\p{Alpha},An alphabetic character:[\p{Lower}\p{Upper}]
\p{Digit},A decimal digit: [0-9]
\p{Alnum},An alphanumeric character:[\p{Alpha}\p{Digit}]
\p{Punct},"Punctuation: One of !""#$%&'()*+,-./:;<=>?@[\]^_`{|}~"
\p{Graph},A visible character: [\p{Alnum}\p{Punct}]
\p{Print},A printable character: [\p{Graph}\x20]
\p{Blank},A space or a tab: [ \t]
\p{Cntrl},A control character: [\x00-\x1F\x7F]
\p{XDigit},A hexadecimal digit: [0-9a-fA-F]
\p{Space},A whitespace character: [ \t\n\x0B\f\r]
java.lang.Character classes (simple java character type),
\p{javaLowerCase},Equivalent to java.lang.Character.isLowerCase()
\p{javaUpperCase},Equivalent to java.lang.Character.isUpperCase()
\p{javaWhitespace},Equivalent to java.lang.Character.isWhitespace()
\p{javaMirrored},Equivalent to java.lang.Character.isMirrored()
"Classes for Unicode scripts, blocks, categories and binary properties",
\p{IsLatin},A Latin script character (script)
\p{InGreek},A character in the Greek block (block)
\p{Lu},An uppercase letter (category)
\p{IsAlphabetic},An alphabetic character (binary property)
\p{Sc},A currency symbol
\P{InGreek},Any character except one in the Greek block (negation)
[\p{L}&&[^\p{Lu}]],Any letter except an uppercase letter (subtraction)
Boundary matchers,
^ The beginning of a line,
$,The end of a line
\b,A word boundary
\B,A non­word boundary
