0,1
\A,The beginning of the input
\G,The end of the previous match
\Z,"The end of the input but for the final terminator, if any"
\z,The end of the input
Greedy quantifiers,
X?,"X, once or not at all"
X*,"X, zero or more times"
X+,"X, one or more times"
X{n},"X, exactly n times"
"X{n,}","X, at least n times"
"X{n,m}","X, at least n but not more than m times"
Reluctant quantifiers,
X??,"X, once or not at all"
X*?,"X, zero or more times"
X+?,"X, one or more times"
X{n}?,"X, exactly n times"
"X{n,}?","X, at least n times"
"X{n,m}?","X, at least n but not more than m times"
Possessive quantifiers,
X?+,"X, once or not at all"
X*+,"X, zero or more times"
X++,"X, one or more times"
X{n}+,"X, exactly n times"
"X{n,}+","X, at least n times"
"X{n,m}+","X, at least n but not more than m times"
Logical operators,
XY,X followed by Y
X|Y,Either X or Y
(X),"X, as a capturing group"
Back references,
\n,Whatever the n capturing group matched<s>th</s>
\k<name>,"Whatever the named­capturing group ""name"" matched"
Quotation,
\,"Nothing, but quotes the following character"
\Q,"Nothing, but quotes all characters until \E"
\E,"Nothing, but ends quoting started by \Q"
Special constructs (named­capturing and non­capturing),
(?<name>X),"X, as a named­capturing group"
(?:X),"X, as a non­capturing group"
(?idmsuxU-idmsuxU),"Nothing, but turns match flags i d m s u x U on ­ off"
(?idmsux-idmsux:X),"X, as a non­capturing group with the given flags i d m s u x on ­ off"
(?=X),"X, via zero­width positive lookahead"
(?!X),"X, via zero­width negative lookahead"
(?<=X),"X, via zero­width positive lookbehind"
(?<!X),"X, via zero­width negative lookbehind"
