0,1,2,3,4
Name Description Validation User Type Mandatory/ Optional,,,,
"SMS MO Note: Even though fields coming under MO are mentioned as Mandatory,these fields are mandatory if parameter “is_sms_mo_allowed” is set to true.",,,,
sms_mo_max_msg_day,"No. of Maximum MO msgs per day. This is an optional value and if not supplied, msg/day enforcement will not be enforced.",Should be a number,OPERATIONS_LEVEL,Optional
sms_mo_max_msg_second,No. of Maximum MO msgs per second.,Should be a number,OPERATIONS_LEVEL,Mandatory
"SMS MT  Note: Even though fields coming under MT are mentioned as Mandatory, these fields are mandatory if parameter “is_sms_mt_allowed” is set to true.",,,,
sms_mt_max_recipients_per_day,"No. of Maximum MT recipients per day. This is an optional value and if not supplied, msg/day enforcement will not be enforced.",Should be a number,OPERATIONS_LEVEL,Optional
sms_mt_max_recipients_per_second,No. of Maximum MT recipients per second.,Should be a number,OPERATIONS_LEVEL,Mandatory
Name,Description,Validation,User Type,Mandatory/ Optional
mms_mo_max_msg_day,"No. of Maximum MO msgs per day, this is an optional value if this is not supplied then msg/day enforcement will not be enforced",Should be a number,OPERATIONS_LEVEL,Optional
mms_mo_max_msg_second,No. of Maximum MO msgs per second,Should be a number,OPERATIONS_LEVEL,Mandatory
mms_mt_max_recipients_day,"No. of Maximum MT recipients per day, this is an optional value if this is not supplied then msg/day enforcement will not be enforced",Should be a number,OPERATIONS_LEVEL,Optional
mms_mt_max_recipients_second,No. of Maximum MT recipients per second,Should be a number,OPERATIONS_LEVEL,Mandatory
