0,1,2,3,4
Field,Description,Type,Validation,Error Response
Maximum Recipients Per Second,Used to specify the maximum number of recipients to whom WAP Push messages can be delivered per second.,String Mandatory.,Should be a digit. Default value should be 0. Should be less than 100.,If not entered or negative values entered: “Max Recipients per Second required.” If a value other than a digit entered: “Please enter a valid input.” If a value greater than 100 entered: “Max recipients per second should not be greater than 100 recipients per second.”
Maximum Recipients Per Day,Used to specify the maximum number of recipients to whom WAP Push messages,String Mandatory.,Should be a digit. Default value should be 0.,If not entered or negative values entered: “Max Recipients per Day required.”
,can be delivered per day.,,"Should be less than 50,000,000.","If a value other than a digit entered: “Please enter a valid input.” If a value greater than 50,000,000 entered: “Max recipients per day should not be greater than 500000000 recipients per day.” If the value entered for Maximum Recipients Per Second is greater than Maximum Recipients Per Day: “Max recipients per day should be greater than Max recipients per second.”"
NCS Description,Used to capture the description entered by the user regarding the NCS configuration.,String,Optional. Should be less than 255 characters.,If character count 255 exceeded: “NCS Description is too long.”
