0,1,2,3,4
Field Description Type Validation Error Response,,,,
USSD MO,,,,
Maximum Messages Per Second,Used to specify the maximum number of mobile originated USSD messages per second that the service provider is capable of handling.,String Mandatory.,"Should be a digit. Default value should be 0. Should be less than 1,000.","If not entered or negative values entered: “Maximum messages per second required.” If a value other than a digit entered: “Please enter a valid input.” If a value greater than 1,000 entered: “Max message per Second should not be greater than 1000 message per second.”"
Maximum Messages Per Day,Used to specify the maximum number of mobile originated,String Mandatory.,Should be a digit.,If not entered or negative values entered: “Maximum messages per day required.”
,USSD per day that the service provider is capable of handling.,,"Default value should be 0. Should be less than 50,000,000.","If a value other than a digit entered: “Please enter a valid input.” If a value greater than 50,000,000 entered: “Max message per day should not be greater than 50000000 message per day.” If the value entered for Maximum Messages Per Second is greater than Maximum Messages Per Day: “Max message per day should be greater than message per Second.”"
NCS Description,Used to capture the description entered by the user regarding the NCS configuration.,String,Optional. Should be less than 255 characters.,If character count 255 exceeded: “NCS Description is too long.”
SMS MT,,,,
Maximum recipients Per Second,Used to specify the maximum number of recipients that the service provider is capable of delivering USSD messages to per second.,String Mandatory.,"Should be a digit. Default value should be 0. Should be less than 1,000.","If not entered or negative values entered: “Maximum messages per second required.” If a value other than a digit entered: “Please enter a valid input.” If a value greater than 1,000 entered: “Max message per Second should not be greater than 1000 message per second.”"
Maximum recipients Per Day,Used to specify the maximum number of recipients that the service provider is,String Mandatory.,Should be a digit.,If not entered or negative values entered: “Maximum messages per day required.”
,capable of delivering USSD messages to per day.,,"Default value should be 0. Should be less than 50,000,000.","If a value other than a digit entered: “Please enter a valid input.” If a value greater than 50,000,000 entered: “Max message per day should not be greater than 50000000 message per day.” If the value entered for Maximum Messages Per Second is greater than Maximum Messages Per Day: “Max message per day should be greater than message per Second.”"
