0,1
1,((A)(B(C)))
2,(A)
3,(B(C))
4,(C)
Construct,Matches
\p{Lower},A lowercase character:\p{IsLowercase}
\p{Upper},An uppercase character:\p{IsUppercase}
\p{ASCII},All ASCII:[\x00-\x7F]
\p{Alpha},An alphabetic character:\p{IsAlphabetic}
\p{Digit},A decimal digit character:p{IsDigit}
\p{Alnum},An alphanumeric character:[\p{IsAlphabetic}\p{IsDigit}]
\p{Punct},A punctuation character:p{IsPunctuation}
\p{Graph},A visible character: [^\p{IsWhite_Space}\p{gc=Cc}\p{gc=Cs}\p{gc=Cn}]
\p{Print},A printable character: [\p{Graph}\p{Blank}&&[^\p{Cntrl}]]
\p{Blank},A space or a tab: [\p{IsWhite_Space}&&[^\p{gc=Zl}\p{gc=Zp}\x0a\x0b\x0c\x0d\x85]]
\p{Cntrl},A control character: \p{gc=Cc}
\p{XDigit},A hexadecimal digit: [\p{gc=Nd}\p{IsHex_Digit}]
\p{Space},A whitespace character:\p{IsWhite_Space}
\d,A digit: \p{IsDigit}
\D,A non­digit: [^\d]
\s,A whitespace character: \p{IsWhite_Space}
\S,A non­whitespace character: [^\s]
\w,A word character: [\p{Alpha}\p{gc=Mn}\p{gc=Me}\p{gc=Mc}\p{Digit}\p{gc=Pc}]
\W,A non­word character: [^\w]
