0,1,2,3,4
Field,Description,Type,Validation,Error Response
Maximum SWS Incoming,Used to specify the maximum number of SWS incoming,String Mandatory.,Should be a digit.,If not entered or negative values entered: “Maximum
Requests Per Second,requests per second that the service provider is capable of handling.,,"Default value should be 0. Should be less than 1,000.","SWS Incoming Requests per second required.” If a value other than a digit entered: “Please enter a valid input.” If a value greater than 1,000 entered: “Maximum SWS per second should be less than 1,000.”"
Maximum SWS Incoming Requests Per Day,Used to specify the maximum number of SWS incoming requests per day that the service provider is capable of handling.,String Mandatory.,"Should be a digit. Default value should be 0. Should be less than 50,000,000.","If not entered, entered 0 or negative value entered: “Maximum SWS Incoming Requests per day required.” If a value other than a digit entered: “Please enter a valid input.” If a value greater than 50,000,000 entered: “Maximum SWS per second should be less than 50,000,000.” If the value entered for Maximum SWS Incoming Requests Per Second is greater than Maximum SWS Incoming Requests Per Day: “Maximum SWS incoming requests per day should be greater than maximum requests per second.”"
NCS Description,Used to capture the description entered by the user regarding the NCS configuration.,String,Optional. Should be less than 255 characters.,If character count 255 exceeded: “NCS Description is too long.”
