0,1,2,3,4
Field Description Type Validation Error Response,,,,
MMS MO,,,,
Maximum Messages Per Second,Used to specify the maximum number of mobile originated MMS per second that the service provider is capable of handling.,String Mandatory.,Should be a digit. Default value should be 0. Should be less than 100.,If not entered or negative values entered: “Maximum messages per second required.” If a value other than a digit entered: “Please enter a valid input.” If a value greater than 100 entered: “Max message per Second should not be greater than 100 message per second.”
Maximum Messages Per Day,Used to specify the maximum number of mobile originated,String Mandatory.,Should be a digit.,If not entered or negative values entered: “Maximum messages per day required.”
,MMS per day that the service provider is capable of handling.,,"Default value should be 0. Should be less than 50,000,000.","If a value other than a digit entered: “Please enter a valid input.” If a value greater than 50,000,000 entered: “Max message per day should not be greater than 50000000 message per day.” If the value entered for Maximum Messages Per Second is greater than Maximum Messages Per Day: “Maximum messages per day should be greater than maximum messages per second.”"
NCS Description,Used to capture the description entered by the user regarding the NCS configuration.,String,Optional. Should be less than 255 characters.,If character count 255 exceeded: “NCS Description is too long.”
MMS MT,,,,
Maximum recipients Per Second,Used to specify the maximum number of recipients that the service provider is capable of delivering MMS messages to per second.,String Mandatory.,Should be a digit. Default value should be 0. Should be less than 100.,If not entered or negative values entered: “Maximum messages per second required.” If a value other than a digit entered: “Please enter a valid input.” If a value greater than 100 entered: “Max message per Second should not be greater than 100 message per second.”
Maximum recipients Per Day,Used to specify the maximum number of recipients that the,String Mandatory.,Should be a digit.,If not entered or negative values entered: “Maximum messages per day required.”
,service provider is capable of delivering MMS messages to per day.,,"Default value should be 0. Should be less than 50,000,000.","If a value other than a digit entered: “Please enter a valid input.” If a value greater than 50,000,000 entered: “Max message per day should not be greater than 50000000 message per day.” If the value entered for Maximum Messages Per Second is greater than Maximum Messages Per Day: “Max message per day should be greater than message per Second.”"
